date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:32:49	48/48	---MCZ	200	added ('OK')	text/plain	etag:f84dd2eadf71d19ac07834f908eaa482	https://zarastore.info/robots.txt		(from )
03:32:49	213897/213897	---MCZ	200	added ('OK')	text/html	etag:22ff926e5259560c9aebaedd3348e655	https://zarastore.info/	C:/My%20Web%20Sites/zara/zarastore.info/index.html	(from )
03:32:49	1074/1074	---MCZ	200	added ('OK')	application/atom+xml	etag:22ff926e5259560c9aebaedd3348e655	https://zarastore.info/home/f.atom	C:/My%20Web%20Sites/zara/zarastore.info/home/f.atom	(from https://zarastore.info/)
03:32:50	657/657	---MCZ	200	added ('OK')	application/json	etag:22ff926e5259560c9aebaedd3348e655	https://zarastore.info/home/f.json	C:/My%20Web%20Sites/zara/zarastore.info/home/f.json	(from https://zarastore.info/)
03:32:50	1250/1250	---MCZ	200	added ('OK')	application/rss+xml	etag:22ff926e5259560c9aebaedd3348e655	https://zarastore.info/home/f.rss	C:/My%20Web%20Sites/zara/zarastore.info/home/f.rss	(from https://zarastore.info/)
03:32:50	439/439	---MCZ	200	added ('OK')	application/manifest+json	etag:c75c68e66de06a8edc911076e051d118	https://zarastore.info/manifest.webmanifest	C:/My%20Web%20Sites/zara/zarastore.info/manifest.webmanifest	(from https://zarastore.info/)
03:32:50	213897/213897	---MCZ	200	added ('OK')	text/html	etag:22ff926e5259560c9aebaedd3348e655	https://zarastore.info/home	C:/My%20Web%20Sites/zara/zarastore.info/home.html	(from https://zarastore.info/)
03:32:50	32927/32927	---MCZ	200	added ('OK')	application/javascript	etag:56fc762a102fb456b4797d8efc95aa77	https://zarastore.info/sw.js	C:/My%20Web%20Sites/zara/zarastore.info/sw.js	(from https://zarastore.info/)
03:32:51	102402/102402	---MCZ	200	added ('OK')	text/html	etag:2955d7972346ee9a98ff81f021672f1e	https://zarastore.info/all-products?olsPage=cart	C:/My%20Web%20Sites/zara/zarastore.info/all-products3aec.html	(from https://zarastore.info/)
03:32:51	102402/102402	---MCZ	200	added ('OK')	text/html	etag:2955d7972346ee9a98ff81f021672f1e	https://zarastore.info/all-products	C:/My%20Web%20Sites/zara/zarastore.info/all-products.html	(from https://zarastore.info/)
03:32:51	151522/151522	---MCZ	200	added ('OK')	text/html	etag:317a78fb0b9d4b17bc94117c1603b19b	https://zarastore.info/online-services	C:/My%20Web%20Sites/zara/zarastore.info/online-services.html	(from https://zarastore.info/)
03:32:51	98545/98545	---MCZ	200	added ('OK')	text/html	etag:096f829a4060b7662f07b8261bc7a0a5	https://zarastore.info/contact-us	C:/My%20Web%20Sites/zara/zarastore.info/contact-us.html	(from https://zarastore.info/)
03:32:51	40/40	---M--	302	error ('Found')	text/plain	date:Fri,%2014%20Apr%202023%2022:02:52%20GMT	https://zarastore.info/m/account	C:/My%20Web%20Sites/zara/zarastore.info/m/account	(from https://zarastore.info/)
03:32:52	81591/81591	---MCZ	200	added ('OK')	text/html	etag:67afef5aab296da1e50ef3fa2760e8a1	https://zarastore.info/m/login?r=%2Fm%2Faccount	C:/My%20Web%20Sites/zara/zarastore.info/m/logina8b9.html	(from https://zarastore.info/)
03:32:52	83174/83174	---MCZ	200	added ('OK')	text/html	etag:2bb46820ce5830004ee0e9d5b5457f95	https://zarastore.info/m/create-account	C:/My%20Web%20Sites/zara/zarastore.info/m/create-account.html	(from https://zarastore.info/)
03:32:52	39/39	---M--	302	error ('Found')	text/plain	date:Fri,%2014%20Apr%202023%2022:02:53%20GMT	https://zarastore.info/m/orders	C:/My%20Web%20Sites/zara/zarastore.info/m/orders	(from https://zarastore.info/)
